@relation output_weak

@attribute char_length numeric
@attribute word_length numeric
@attribute baidu_vertical_types_number numeric
@attribute baidu_vertical_results_number numeric
@attribute baidu_vertical_results_area_fraction numeric
@attribute baidu_total_images_number numeric
@attribute baidu_total_images_area_fraction numeric
@attribute sogou_vertical_types_number numeric
@attribute sogou_vertical_results_number numeric
@attribute sogou_vertical_results_area_fraction numeric
@attribute sogou_total_images_number numeric
@attribute sogou_total_images_area_fraction numeric
@attribute delta_vertical_types_number numeric
@attribute delta_vertical_results_number numeric
@attribute delta_vertical_results_area_fraction numeric
@attribute delta_total_images_number numeric
@attribute delta_total_images_area_fraction numeric
@attribute preference {different,tie}

@data
12,2,5,10,1,20,0.316086,3,8,0.879917,9,0.052232,2,2,0.120083,11,0.263855,different
21,4,5,8,0.882026,14,0.168421,4,8,0.899516,2,0.023443,1,0,-0.017489,12,0.144979,different
18,3,3,8,0.872468,6,0.086723,4,10,1,8,0.099257,-1,-2,-0.127532,-2,-0.012533,tie
24,4,2,9,0.930099,11,0.183662,2,9,0.921692,6,0.108214,0,0,0.008407,5,0.075448,tie
27,6,4,10,1,15,0.211301,5,10,1,10,0.141989,-1,0,0,5,0.069312,different
27,5,1,1,0.177419,0,0,3,10,1,0,0,-2,-9,-0.822581,0,0,tie
20,5,3,8,0.844607,6,0.092512,2,6,0.659491,0,0,1,2,0.185116,6,0.092512,different
28,6,3,8,0.855932,7,0.100065,3,10,1,6,0.090485,0,-2,-0.144068,1,0.00958,different
8,2,3,6,0.668932,5,0.081884,3,8,0.832692,0,0,0,-2,-0.16376,5,0.081884,tie
33,5,2,7,0.736025,4,0.069847,3,5,0.521452,0,0,-1,2,0.214573,4,0.069847,tie
30,3,3,4,0.503408,3,0.052778,4,7,0.783402,1,0.015095,-1,-3,-0.279995,2,0.037683,tie
24,4,2,5,0.60989,8,0.136757,3,3,0.349171,0,0,-1,2,0.260719,8,0.136757,tie
